Model,RMSE,MAE,R2_Score
Linear Regression,698.427599848752,101.11835787459158,0.3911921590591476
LSTM,273.9819830478,10.197000690798223,0.9063125409475132
Gradient Boosting,277.5490622231897,14.596153320043237,0.9038571527518792
